jornada,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante
20,CD Malaga,Espanol,0,0
20,Real Sociedad,Valencia,0,0
21,Celta de Vigo,Zaragoza,2,0
21,Elche,Atletico de Madrid,0,4
21,Espanol,Barcelona,0,1
21,Las Palmas,Granada,2,0
21,Real Madrid,CD Malaga,2,2
21,Sabadell,Atletico de Bilbao,1,0
21,Sevilla,Real Sociedad,1,0
21,Valencia,Sporting de Gijon,1,0
22,Atletico de Bilbao,Elche,2,0
22,Atletico de Madrid,Espanol,3,0
22,Barcelona,Real Madrid,0,1
22,Celta de Vigo,Las Palmas,1,0
22,Sporting de Gijon,Sevilla,4,0
22,CD Malaga,Valencia,0,1
22,Real Sociedad,Granada,1,1
22,Zaragoza,Sabadell,3,1
23,Elche,Zaragoza,2,1
23,Espanol,Atletico de Bilbao,1,0
23,Granada,Sporting de Gijon,3,0
23,Real Sociedad,Las Palmas,1,0
23,Real Madrid,Atletico de Madrid,1,0
23,Sabadell,Celta de Vigo,3,2
23,Sevilla,CD Malaga,1,0
23,Valencia,Barcelona,1,1
24,Atletico de Madrid,Valencia,3,0
24,Atletico de Bilbao,Real Madrid,0,1
24,Barcelona,Sevilla,5,2
24,Celta de Vigo,Elche,3,0
24,Sporting de Gijon,Real Sociedad,2,0
24,Las Palmas,Sabadell,5,0
24,CD Malaga,Granada,1,0
24,Zaragoza,Espanol,2,2
25,Elche,Sabadell,0,0
25,Espanol,Celta de Vigo,0,1
25,Sporting de Gijon,Las Palmas,2,0
25,Granada,Barcelona,0,2
25,Real Sociedad,CD Malaga,1,2
25,Real Madrid,Zaragoza,2,1
25,Sevilla,Atletico de Madrid,1,1
25,Valencia,Atletico de Bilbao,4,0
26,Atletico de Madrid,Granada,3,0
26,Atletico de Bilbao,Sevilla,1,0
26,Barcelona,Real Sociedad,4,0
26,Celta de Vigo,Real Madrid,2,0
26,Elche,Las Palmas,2,0
26,CD Malaga,Sporting de Gijon,3,0
26,Sabadell,Espanol,0,0
26,Zaragoza,Valencia,0,2
27,Espanol,Elche,2,0
27,Sporting de Gijon,Barcelona,0,2
27,Granada,Atletico de Bilbao,2,2
27,Las Palmas,CD Malaga,1,2
27,Real Sociedad,Atletico de Madrid,0,1
27,Real Madrid,Sabadell,3,1
27,Sevilla,Zaragoza,4,2
27,Valencia,Celta de Vigo,2,1
28,Atletico de Bilbao,Real Sociedad,1,1
28,Atletico de Madrid,Sporting de Gijon,2,0
28,Barcelona,CD Malaga,1,0
28,Celta de Vigo,Sevilla,2,0
28,Elche,Real Madrid,0,1
28,Las Palmas,Espanol,0,0
28,Sabadell,Valencia,0,1
28,Zaragoza,Granada,0,0
29,CD Malaga,Atletico de Madrid,0,0
29,Real Madrid,Espanol,1,0
29,Sporting de Gijon,Atletico de Bilbao,3,1
29,Granada,Celta de Vigo,1,0
29,Real Sociedad,Zaragoza,2,0
29,Sevilla,Sabadell,1,0
29,Valencia,Elche,3,0
29,Barcelona,Las Palmas,2,0
30,Atletico de Bilbao,CD Malaga,2,1
30,Atletico de Madrid,Barcelona,1,1
30,Celta de Vigo,Real Sociedad,0,0
30,Elche,Sevilla,1,0
30,Espanol,Valencia,1,0
30,Las Palmas,Real Madrid,0,0
30,Sabadell,Granada,0,1
30,Zaragoza,Sporting de Gijon,0,0
1,Cadiz,Villarreal,1,2
1,Deportivo,Mallorca,2,1
1,Moscardo,Rayo Vallecano,0,3
1,Calvo Sotelo,Burgos,0,1
1,Ontinyent,Pontevedra,2,2
1,Logrones,Betis,2,2
1,Castellon,Santander,2,1
1,Langreo,Cordoba,1,0
1,Sant Andreu,Oviedo,2,0
1,Hercules,Racing de Ferrol,2,0
2,Pontevedra,Logrones,2,1
2,Burgos,Sant Andreu,3,1
2,Mallorca,Moscardo,5,1
2,Cordoba,Ontinyent,3,1
2,Oviedo,Cadiz,1,2
2,Santander,Langreo,0,1
2,Betis,Calvo Sotelo,2,1
2,Villarreal,Deportivo,1,1
2,Rayo Vallecano,Hercules,1,0
2,Racing de Ferrol,Castellon,0,1
3,Cadiz,Burgos,3,1
3,Moscardo,Villarreal,1,0
3,Langreo,Racing de Ferrol,0,1
3,Logrones,Calvo Sotelo,3,1
3,Ontinyent,Santander,0,1
3,Pontevedra,Cordoba,2,0
3,Hercules,Mallorca,3,1
3,Castellon,Rayo Vallecano,2,0
3,Deportivo,Oviedo,1,0
3,Sant Andreu,Betis,0,0
4,Calvo Sotelo,Sant Andreu,3,0
4,Villarreal,Hercules,1,2
4,Santander,Pontevedra,2,0
4,Oviedo,Moscardo,2,0
4,Mallorca,Castellon,1,2
4,Rayo Vallecano,Langreo,2,0
4,Betis,Cadiz,1,0
4,Burgos,Deportivo,3,1
4,Racing de Ferrol,Ontinyent,1,0
4,Cordoba,Logrones,3,1
5,Logrones,Sant Andreu,1,0
5,Langreo,Mallorca,0,0
5,Castellon,Villarreal,1,1
5,Cadiz,Calvo Sotelo,3,0
5,Ontinyent,Rayo Vallecano,0,0
5,Hercules,Oviedo,1,1
5,Cordoba,Santander,1,0
5,Deportivo,Betis,3,1
5,Moscardo,Burgos,0,0
5,Pontevedra,Racing de Ferrol,2,0
6,Rayo Vallecano,Pontevedra,4,2
6,Burgos,Hercules,1,0
6,Santander,Logrones,0,2
6,Mallorca,Ontinyent,1,1
6,Oviedo,Castellon,3,2
6,Racing de Ferrol,Cordoba,1,0
6,Calvo Sotelo,Deportivo,0,1
6,Villarreal,Langreo,2,0
6,Sant Andreu,Cadiz,1,0
6,Betis,Moscardo,2,1
7,Deportivo,Sant Andreu,0,0
7,Castellon,Burgos,1,0
7,Langreo,Oviedo,1,0
7,Moscardo,Calvo Sotelo,2,1
7,Pontevedra,Mallorca,0,0
7,Cordoba,Rayo Vallecano,4,1
7,Santander,Racing de Ferrol,1,0
7,Hercules,Betis,0,0
7,Logrones,Cadiz,3,1
7,Ontinyent,Villarreal,2,2
8,Cadiz,Deportivo,3,1
8,Villarreal,Pontevedra,2,0
8,Oviedo,Ontinyent,3,0
8,Racing de Ferrol,Logrones,4,1
8,Betis,Castellon,4,0
8,Mallorca,Cordoba,0,1
8,Rayo Vallecano,Santander,2,0
8,Calvo Sotelo,Hercules,1,1
8,Burgos,Langreo,2,0
8,Sant Andreu,Moscardo,0,0
9,Pontevedra,Oviedo,0,0
