jornada,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante
16,Mallorca,Real Sociedad,2,1
16,Murcia,CD Malaga,2,1
16,Osasuna,Cadiz,2,0
16,Sevilla,Zaragoza,2,0
16,Valladolid,Real Madrid,0,2
17,Barcelona,Atletico de Madrid,2,1
17,Real Sociedad,Atletico de Bilbao,0,1
17,Real Madrid,Espanol,1,0
17,Salamanca,Sevilla,1,0
17,Betis,Valladolid,3,1
17,Cadiz,Mallorca,3,0
17,CD Malaga,Sporting de Gijon,3,1
17,Valencia,Murcia,1,1
17,Zaragoza,Osasuna,2,0
18,Betis,Real Madrid,4,1
18,Atletico de Madrid,Espanol,1,0
18,Barcelona,Sevilla,3,1
18,Cadiz,Atletico de Bilbao,0,1
18,CD Malaga,Valladolid,3,1
18,Real Sociedad,Murcia,0,0
18,Salamanca,Osasuna,3,1
18,Valencia,Sporting de Gijon,0,3
18,Zaragoza,Mallorca,1,1
19,Atletico de Bilbao,Zaragoza,1,0
19,Espanol,Betis,4,1
19,Sporting de Gijon,Real Sociedad,1,2
19,Mallorca,Salamanca,1,1
19,Murcia,Cadiz,3,1
19,Osasuna,Barcelona,4,2
19,Real Madrid,CD Malaga,1,0
19,Sevilla,Atletico de Madrid,0,1
19,Valladolid,Valencia,2,1
20,CD Malaga,Betis,1,1
20,Atletico de Madrid,Osasuna,3,0
20,Barcelona,Mallorca,1,1
20,Cadiz,Sporting de Gijon,0,2
20,Real Sociedad,Valladolid,2,1
20,Salamanca,Atletico de Bilbao,1,2
20,Sevilla,Espanol,2,1
20,Valencia,Real Madrid,0,0
20,Zaragoza,Murcia,2,1
21,Mallorca,Atletico de Madrid,1,1
21,Atletico de Bilbao,Barcelona,1,2
21,Betis,Valencia,3,2
21,Espanol,CD Malaga,1,1
21,Sporting de Gijon,Zaragoza,1,1
21,Murcia,Salamanca,1,0
21,Osasuna,Sevilla,3,0
21,Real Madrid,Real Sociedad,0,0
21,Valladolid,Cadiz,2,0
22,Atletico de Madrid,Atletico de Bilbao,1,0
22,Real Sociedad,Betis,1,0
22,Barcelona,Murcia,2,0
22,Cadiz,Real Madrid,2,3
22,Osasuna,Espanol,0,0
22,Salamanca,Sporting de Gijon,0,1
22,Sevilla,Mallorca,0,0
22,Valencia,CD Malaga,1,1
22,Zaragoza,Valladolid,1,1
23,Atletico de Bilbao,Sevilla,5,0
23,Betis,Cadiz,2,1
23,Espanol,Valencia,1,2
23,Sporting de Gijon,Barcelona,0,0
23,CD Malaga,Real Sociedad,2,2
23,Mallorca,Osasuna,3,0
23,Murcia,Atletico de Madrid,0,0
23,Real Madrid,Zaragoza,1,0
23,Valladolid,Salamanca,3,1
24,Barcelona,Valladolid,5,0
24,Atletico de Madrid,Sporting de Gijon,1,1
24,Cadiz,CD Malaga,0,0
24,Mallorca,Espanol,1,1
24,Osasuna,Atletico de Bilbao,1,1
24,Real Sociedad,Valencia,1,0
24,Salamanca,Real Madrid,0,1
24,Sevilla,Murcia,1,0
24,Zaragoza,Betis,5,0
25,Real Madrid,Barcelona,2,1
25,Atletico de Bilbao,Mallorca,4,0
25,Betis,Salamanca,1,0
25,Espanol,Real Sociedad,2,2
25,Sporting de Gijon,Sevilla,1,0
25,CD Malaga,Zaragoza,0,1
25,Murcia,Osasuna,4,0
25,Valencia,Cadiz,1,1
25,Valladolid,Atletico de Madrid,1,2
26,Barcelona,Betis,3,1
26,Cadiz,Real Sociedad,1,1
26,Atletico de Bilbao,Espanol,1,1
26,Atletico de Madrid,Real Madrid,1,0
26,Mallorca,Murcia,1,1
26,Osasuna,Sporting de Gijon,1,0
26,Salamanca,CD Malaga,1,0
26,Sevilla,Valladolid,2,1
26,Zaragoza,Valencia,0,3
27,Real Sociedad,Zaragoza,2,1
27,Betis,Atletico de Madrid,1,0
27,Espanol,Cadiz,1,1
27,Sporting de Gijon,Mallorca,0,3
27,CD Malaga,Barcelona,0,1
27,Murcia,Atletico de Bilbao,0,1
27,Real Madrid,Sevilla,2,2
27,Valencia,Salamanca,1,0
27,Valladolid,Osasuna,0,1
28,Barcelona,Valencia,0,0
28,Atletico de Bilbao,Sporting de Gijon,1,0
28,Atletico de Madrid,CD Malaga,3,1
28,Mallorca,Valladolid,1,1
28,Murcia,Espanol,2,0
28,Osasuna,Real Madrid,1,1
28,Salamanca,Real Sociedad,1,1
28,Sevilla,Betis,2,1
28,Zaragoza,Cadiz,1,2
29,Valencia,Atletico de Madrid,1,2
29,Betis,Osasuna,1,0
29,Cadiz,Salamanca,2,0
29,Espanol,Zaragoza,0,0
29,Sporting de Gijon,Murcia,1,1
29,CD Malaga,Sevilla,1,0
29,Real Sociedad,Barcelona,0,1
29,Real Madrid,Mallorca,2,0
29,Valladolid,Atletico de Bilbao,0,0
30,Barcelona,Cadiz,4,1
30,Atletico de Bilbao,Real Madrid,2,1
30,Atletico de Madrid,Real Sociedad,2,1
30,Sporting de Gijon,Espanol,0,1
30,Mallorca,Betis,0,1
30,Murcia,Valladolid,1,2
30,Osasuna,CD Malaga,0,0
30,Salamanca,Zaragoza,1,1
30,Sevilla,Valencia,2,0
31,Zaragoza,Barcelona,0,1
31,Betis,Atletico de Bilbao,2,0
31,Cadiz,Atletico de Madrid,3,1
31,Espanol,Salamanca,3,0
31,CD Malaga,Mallorca,2,0
31,Real Sociedad,Sevilla,1,0
31,Real Madrid,Murcia,3,2
31,Valencia,Osasuna,2,0
31,Valladolid,Sporting de Gijon,2,0
32,Atletico de Bilbao,CD Malaga,2,1
32,Sporting de Gijon,Real Madrid,1,2
32,Mallorca,Valencia,1,2
32,Atletico de Madrid,Zaragoza,3,3
32,Barcelona,Salamanca,2,0
32,Murcia,Betis,1,0
32,Osasuna,Real Sociedad,0,3
32,Sevilla,Cadiz,2,1
32,Valladolid,Espanol,0,0
33,CD Malaga,Murcia,1,0
33,Barcelona,Espanol,5,2
33,Betis,Sporting de Gijon,3,0
33,Cadiz,Osasuna,0,0
33,Real Sociedad,Mallorca,1,0
33,Real Madrid,Valladolid,2,1
33,Salamanca,Atletico de Madrid,2,2
33,Valencia,Atletico de Bilbao,1,2
33,Zaragoza,Sevilla,1,1
34,Atletico de Bilbao,Real Sociedad,2,1
34,Atletico de Madrid,Barcelona,1,2
34,Espanol,Real Madrid,1,2
34,Sporting de Gijon,CD Malaga,2,0
34,Mallorca,Cadiz,1,1
34,Murcia,Valencia,3,3
34,Osasuna,Zaragoza,1,4
34,Sevilla,Salamanca,3,2
34,Valladolid,Betis,1,0
1,Barcelona Atletic,Deportivo,3,1
1,Elche,Hercules,1,2
1,Algeciras,Rayo Vallecano,0,1
1,Linares CF,Bilbao Athletic,3,1
1,Tenerife,Castilla,2,2
1,Atletico Madrileno,Santander,1,0
1,Granada,Cartagena,1,0
1,Celta de Vigo,Palencia CF,2,1
1,Recreativo de Huelva,Las Palmas,0,1
1,Castellon,Oviedo,0,2
2,Castilla,Recreativo de Huelva,4,1
2,Las Palmas,Celta de Vigo,1,1
2,Santander,Tenerife,0,0
2,Cartagena,Barcelona Atletic,4,2
2,Palencia CF,Castellon,2,1
2,Rayo Vallecano,Elche,0,2
2,Oviedo,Algeciras,3,0
2,Deportivo,Atletico Madrileno,1,1
2,Hercules,Linares CF,1,1
2,Bilbao Athletic,Granada,1,0
3,Barcelona Atletic,Bilbao Athletic,1,4
3,Celta de Vigo,Castilla,1,3
3,Elche,Oviedo,2,1
3,Granada,Hercules,1,0
3,Linares CF,Rayo Vallecano,1,0
3,Tenerife,Recreativo de Huelva,1,0
3,Castellon,Las Palmas,3,1
3,Atletico Madrileno,Cartagena,4,2
3,Algeciras,Palencia CF,2,1
3,Santander,Deportivo,2,1
4,Castilla,Castellon,2,3
4,Las Palmas,Algeciras,2,0
4,Hercules,Barcelona Atletic,2,1
4,Rayo Vallecano,Granada,2,0
4,Oviedo,Linares CF,3,1
4,Deportivo,Tenerife,0,2
4,Cartagena,Santander,2,2
4,Bilbao Athletic,Atletico Madrileno,2,1
4,Palencia CF,Elche,2,2
4,Recreativo de Huelva,Celta de Vigo,2,1
5,Barcelona Atletic,Rayo Vallecano,2,0
5,Santander,Bilbao Athletic,1,4
5,Atletico Madrileno,Hercules,5,0
5,Tenerife,Celta de Vigo,2,2
5,Castellon,Recreativo de Huelva,2,2
5,Deportivo,Cartagena,3,0
5,Elche,Las Palmas,1,1
5,Granada,Oviedo,3,0
5,Algeciras,Castilla,1,0
5,Linares CF,Palencia CF,2,0
6,Castilla,Elche,4,0
6,Las Palmas,Linares CF,3,0
6,Hercules,Santander,2,4
6,Bilbao Athletic,Deportivo,2,0
6,Palencia CF,Granada,0,2
6,Rayo Vallecano,Atletico Madrileno,0,2
6,Recreativo de Huelva,Algeciras,0,0
6,Cartagena,Tenerife,1,0
6,Oviedo,Barcelona Atletic,1,0
6,Celta de Vigo,Castellon,1,0
7,Barcelona Atletic,Palencia CF,3,1
7,Granada,Las Palmas,1,1
7,Santander,Rayo Vallecano,0,0
7,Algeciras,Celta de Vigo,1,0
7,Elche,Recreativo de Huelva,3,0
7,Tenerife,Castellon,1,0
7,Cartagena,Bilbao Athletic,2,0
7,Linares CF,Castilla,0,0
7,Deportivo,Hercules,0,1
7,Atletico Madrileno,Oviedo,1,1
8,Castilla,Granada,2,1
8,Oviedo,Santander,1,1
8,Palencia CF,Atletico Madrileno,4,0
8,Las Palmas,Barcelona Atletic,0,1
8,Castellon,Algeciras,1,0
8,Celta de Vigo,Elche,1,0
8,Rayo Vallecano,Deportivo,0,1
8,Bilbao Athletic,Tenerife,3,2
8,Recreativo de Huelva,Linares CF,2,2
8,Hercules,Cartagena,0,0
9,Barcelona Atletic,Castilla,0,1
9,Elche,Castellon,6,0
9,Tenerife,Algeciras,1,0
9,Santander,Palencia CF,3,0
9,Linares CF,Celta de Vigo,2,3
9,Granada,Recreativo de Huelva,0,0
9,Atletico Madrileno,Las Palmas,7,3
9,Deportivo,Oviedo,1,0
9,Cartagena,Rayo Vallecano,1,1
9,Bilbao Athletic,Hercules,0,0
10,Castilla,Atletico Madrileno,6,1
10,Celta de Vigo,Granada,1,0
10,Las Palmas,Santander,3,2
10,Palencia CF,Deportivo,0,0
10,Recreativo de Huelva,Barcelona Atletic,0,0
10,Oviedo,Cartagena,1,0
10,Hercules,Tenerife,2,1
10,Castellon,Linares CF,2,1
10,Rayo Vallecano,Bilbao Athletic,1,1
10,Algeciras,Elche,0,0
11,Barcelona Atletic,Celta de Vigo,1,1
11,Santander,Castilla,1,1
11,Hercules,Rayo Vallecano,1,1
11,Linares CF,Algeciras,1,0
11,Tenerife,Elche,0,1
11,Atletico Madrileno,Recreativo de Huelva,1,1
11,Granada,Castellon,3,1
11,Bilbao Athletic,Oviedo,2,2
11,Deportivo,Las Palmas,2,0
11,Cartagena,Palencia CF,2,2
12,Castilla,Deportivo,2,0
12,Elche,Linares CF,4,0
12,Palencia CF,Bilbao Athletic,1,2
12,Las Palmas,Cartagena,3,1
12,Rayo Vallecano,Tenerife,4,4
12,Recreativo de Huelva,Santander,2,2
12,Celta de Vigo,Atletico Madrileno,2,0
12,Oviedo,Hercules,1,0
12,Algeciras,Granada,1,1
12,Castellon,Barcelona Atletic,2,1
13,Barcelona Atletic,Algeciras,0,1
13,Granada,Elche,2,1
13,Bilbao Athletic,Las Palmas,1,1
13,Cartagena,Castilla,3,3
13,Tenerife,Linares CF,0,0
13,Hercules,Palencia CF,0,1
13,Rayo Vallecano,Oviedo,1,0
13,Santander,Celta de Vigo,2,1
13,Deportivo,Recreativo de Huelva,0,0
13,Atletico Madrileno,Castellon,1,1
14,Castilla,Bilbao Athletic,1,0
14,Las Palmas,Hercules,0,2
14,Elche,Barcelona Atletic,2,0
14,Palencia CF,Rayo Vallecano,1,0
14,Celta de Vigo,Deportivo,0,0
14,Recreativo de Huelva,Cartagena,1,0
14,Oviedo,Tenerife,2,1
14,Algeciras,Atletico Madrileno,4,2
14,Linares CF,Granada,0,0
14,Castellon,Santander,1,1
15,Barcelona Atletic,Linares CF,4,2
15,Deportivo,Castellon,2,1
15,Tenerife,Granada,4,1
15,Cartagena,Celta de Vigo,2,1
15,Hercules,Castilla,2,2
15,Atletico Madrileno,Elche,3,3
15,Oviedo,Palencia CF,0,1
15,Santander,Algeciras,2,1
15,Bilbao Athletic,Recreativo de Huelva,0,0
15,Rayo Vallecano,Las Palmas,1,3
16,Las Palmas,Oviedo,0,0
16,Elche,Santander,0,1
16,Castilla,Rayo Vallecano,3,2
16,Celta de Vigo,Bilbao Athletic,0,0
16,Castellon,Cartagena,1,2
16,Recreativo de Huelva,Hercules,0,0
16,Granada,Barcelona Atletic,1,1
16,Palencia CF,Tenerife,1,1
16,Linares CF,Atletico Madrileno,1,0
16,Algeciras,Deportivo,1,1
17,Oviedo,Castilla,2,1
17,Atletico Madrileno,Granada,2,3
17,Santander,Linares CF,1,0
17,Bilbao Athletic,Castellon,3,0
17,Cartagena,Algeciras,1,0
17,Deportivo,Elche,1,0
17,Rayo Vallecano,Recreativo de Huelva,1,2
17,Hercules,Celta de Vigo,1,0
17,Palencia CF,Las Palmas,1,0
17,Tenerife,Barcelona Atletic,1,1
18,Barcelona Atletic,Atletico Madrileno,0,0
18,Castilla,Palencia CF,2,1
18,Tenerife,Las Palmas,0,0
18,Recreativo de Huelva,Oviedo,0,3
18,Castellon,Hercules,1,1
18,Celta de Vigo,Rayo Vallecano,2,1
18,Algeciras,Bilbao Athletic,2,2
18,Granada,Santander,1,0
18,Elche,Cartagena,0,0
18,Linares CF,Deportivo,1,0
19,Las Palmas,Castilla,3,1
19,Deportivo,Granada,1,1
19,Santander,Barcelona Atletic,2,1
19,Cartagena,Linares CF,0,0
19,Oviedo,Celta de Vigo,0,1
19,Hercules,Algeciras,3,1
19,Atletico Madrileno,Tenerife,3,1
19,Rayo Vallecano,Castellon,1,2
19,Palencia CF,Recreativo de Huelva,0,1
19,Bilbao Athletic,Elche,2,1
20,Castilla,Tenerife,2,1
20,Bilbao Athletic,Linares CF,4,0
20,Oviedo,Castellon,2,4
20,Las Palmas,Recreativo de Huelva,1,1
20,Deportivo,Barcelona Atletic,1,2
20,Cartagena,Granada,0,1
20,Hercules,Elche,0,0
20,Palencia CF,Celta de Vigo,1,1
20,Santander,Atletico Madrileno,5,3
20,Rayo Vallecano,Algeciras,0,0
21,Tenerife,Santander,0,0
21,Algeciras,Oviedo,2,2
21,Granada,Bilbao Athletic,2,0
21,Recreativo de Huelva,Castilla,1,0
21,Linares CF,Hercules,0,1
21,Castellon,Palencia CF,1,1
21,Atletico Madrileno,Deportivo,3,1
21,Celta de Vigo,Las Palmas,2,0
21,Elche,Rayo Vallecano,4,1
21,Barcelona Atletic,Cartagena,4,1
22,Castilla,Celta de Vigo,1,0
22,Las Palmas,Castellon,3,2
22,Bilbao Athletic,Barcelona Atletic,4,2
22,Hercules,Granada,2,0
22,Oviedo,Elche,3,2
22,Cartagena,Atletico Madrileno,0,0
22,Palencia CF,Algeciras,2,1
22,Recreativo de Huelva,Tenerife,2,0
22,Deportivo,Santander,1,0
22,Rayo Vallecano,Linares CF,1,0
23,Celta de Vigo,Recreativo de Huelva,2,0
23,Atletico Madrileno,Bilbao Athletic,2,3
23,Barcelona Atletic,Hercules,0,0
23,Elche,Palencia CF,3,1
23,Castellon,Castilla,2,0
23,Linares CF,Oviedo,2,2
23,Santander,Cartagena,0,0
23,Algeciras,Las Palmas,0,0
23,Granada,Rayo Vallecano,0,0
23,Tenerife,Deportivo,1,1
24,Castilla,Algeciras,0,3
24,Las Palmas,Elche,1,1
24,Bilbao Athletic,Santander,2,0
24,Recreativo de Huelva,Castellon,2,1
24,Hercules,Atletico Madrileno,2,1
24,Cartagena,Deportivo,1,1
24,Rayo Vallecano,Barcelona Atletic,0,0
24,Celta de Vigo,Tenerife,4,1
24,Oviedo,Granada,2,1
24,Palencia CF,Linares CF,1,0
25,Barcelona Atletic,Oviedo,3,0
25,Deportivo,Bilbao Athletic,1,0
25,Santander,Hercules,1,0
25,Linares CF,Las Palmas,1,0
25,Castellon,Celta de Vigo,2,0
25,Atletico Madrileno,Rayo Vallecano,2,0
25,Elche,Castilla,0,0
25,Algeciras,Recreativo de Huelva,2,1
25,Tenerife,Cartagena,1,0
25,Granada,Palencia CF,0,0
26,Castilla,Linares CF,3,2
26,Las Palmas,Granada,3,1
26,Castellon,Tenerife,1,0
26,Recreativo de Huelva,Elche,1,0
26,Palencia CF,Barcelona Atletic,0,0
26,Celta de Vigo,Algeciras,1,1
26,Hercules,Deportivo,2,0
26,Oviedo,Atletico Madrileno,0,0
26,Rayo Vallecano,Santander,3,3
26,Bilbao Athletic,Cartagena,0,0
27,Barcelona Atletic,Las Palmas,3,2
27,Santander,Oviedo,2,1
27,Tenerife,Bilbao Athletic,0,1
27,Granada,Castilla,0,1
27,Linares CF,Recreativo de Huelva,2,1
27,Elche,Celta de Vigo,2,1
27,Cartagena,Hercules,0,0
27,Algeciras,Castellon,1,1
27,Deportivo,Rayo Vallecano,3,1
27,Atletico Madrileno,Palencia CF,2,1
28,Castilla,Barcelona Atletic,3,0
28,Las Palmas,Atletico Madrileno,2,1
28,Celta de Vigo,Linares CF,2,2
28,Palencia CF,Santander,0,3
28,Recreativo de Huelva,Granada,1,1
28,Oviedo,Deportivo,1,3
28,Castellon,Elche,1,3
28,Rayo Vallecano,Cartagena,3,1
28,Algeciras,Tenerife,0,1
28,Hercules,Bilbao Athletic,1,2
29,Barcelona Atletic,Recreativo de Huelva,6,1
29,Tenerife,Hercules,1,3
29,Bilbao Athletic,Rayo Vallecano,1,1
29,Santander,Las Palmas,4,0
29,Linares CF,Castellon,0,1
29,Elche,Algeciras,3,0
29,Atletico Madrileno,Castilla,2,3
29,Granada,Celta de Vigo,0,0
29,Deportivo,Palencia CF,2,0
29,Cartagena,Oviedo,0,1
30,Recreativo de Huelva,Atletico Madrileno,1,3
30,Castellon,Granada,1,0
30,Castilla,Santander,0,0
30,Las Palmas,Deportivo,0,0
30,Elche,Tenerife,4,3
30,Oviedo,Bilbao Athletic,1,2
30,Algeciras,Linares CF,1,1
30,Celta de Vigo,Barcelona Atletic,2,2
30,Rayo Vallecano,Hercules,1,1
30,Palencia CF,Cartagena,0,0
31,Barcelona Atletic,Castellon,2,2
31,Tenerife,Rayo Vallecano,1,0
31,Linares CF,Elche,2,2
31,Cartagena,Las Palmas,0,2
31,Santander,Recreativo de Huelva,1,0
31,Granada,Algeciras,3,1
31,Bilbao Athletic,Palencia CF,2,1
31,Deportivo,Castilla,2,2
31,Atletico Madrileno,Celta de Vigo,0,1
31,Hercules,Oviedo,3,1
32,Las Palmas,Bilbao Athletic,0,2
32,Castellon,Atletico Madrileno,1,0
32,Palencia CF,Hercules,1,1
32,Algeciras,Barcelona Atletic,1,0
32,Celta de Vigo,Santander,0,1
32,Oviedo,Rayo Vallecano,1,1
32,Recreativo de Huelva,Deportivo,1,0
32,Linares CF,Tenerife,3,2
32,Castilla,Cartagena,3,1
32,Elche,Granada,2,0
33,Barcelona Atletic,Elche,3,2
33,Bilbao Athletic,Castilla,2,2
33,Atletico Madrileno,Algeciras,1,1
33,Rayo Vallecano,Palencia CF,1,0
33,Hercules,Las Palmas,3,0
33,Tenerife,Oviedo,2,0
33,Santander,Castellon,4,0
33,Deportivo,Celta de Vigo,1,3
33,Granada,Linares CF,3,0
33,Cartagena,Recreativo de Huelva,3,0
34,Castilla,Hercules,1,1
34,Las Palmas,Rayo Vallecano,3,0
34,Linares CF,Barcelona Atletic,0,1
34,Recreativo de Huelva,Bilbao Athletic,2,1
34,Elche,Atletico Madrileno,2,1
34,Algeciras,Santander,2,0
34,Granada,Tenerife,2,1
34,Celta de Vigo,Cartagena,1,1
34,Palencia CF,Oviedo,1,1
34,Castellon,Deportivo,0,0
35,Barcelona Atletic,Granada,1,0
35,Tenerife,Palencia CF,1,1
35,Hercules,Recreativo de Huelva,3,0
35,Bilbao Athletic,Celta de Vigo,1,0
35,Santander,Elche,0,0
35,Oviedo,Las Palmas,1,0
35,Deportivo,Algeciras,1,0
35,Rayo Vallecano,Castilla,1,1
35,Atletico Madrileno,Linares CF,4,1
35,Cartagena,Castellon,2,0
36,Las Palmas,Palencia CF,1,1
36,Barcelona Atletic,Tenerife,1,1
36,Castilla,Oviedo,3,2
36,Linares CF,Santander,2,1
36,Celta de Vigo,Hercules,3,1
36,Algeciras,Cartagena,1,2
36,Recreativo de Huelva,Rayo Vallecano,0,1
36,Castellon,Bilbao Athletic,1,0
36,Elche,Deportivo,1,2
36,Granada,Atletico Madrileno,0,1
37,Bilbao Athletic,Algeciras,4,0
37,Rayo Vallecano,Celta de Vigo,0,0
37,Las Palmas,Tenerife,0,2
37,Palencia CF,Castilla,1,2
37,Oviedo,Recreativo de Huelva,0,1
37,Hercules,Castellon,2,0
37,Cartagena,Elche,0,0
37,Atletico Madrileno,Barcelona Atletic,2,2
37,Santander,Granada,1,2
37,Deportivo,Linares CF,1,0
38,Barcelona Atletic,Santander,1,0
38,Elche,Bilbao Athletic,4,0
38,Castilla,Las Palmas,2,2
38,Granada,Deportivo,4,1
38,Linares CF,Cartagena,3,0
38,Recreativo de Huelva,Palencia CF,2,0
38,Tenerife,Atletico Madrileno,2,1
38,Castellon,Rayo Vallecano,2,2
38,Celta de Vigo,Oviedo,1,0
38,Algeciras,Hercules,2,0
1,Atletico de Bilbao,Valladolid,1,1
1,Elche,Valencia,0,1
1,Espanol,Atletico de Madrid,0,0
1,Betis,Real Sociedad,0,0
1,CD Malaga,Sevilla,0,1
1,Osasuna,Murcia,2,0
1,Santander,Sporting de Gijon,1,0
1,Real Madrid,Barcelona,0,3
1,Zaragoza,Hercules,0,1
2,Atletico de Madrid,Osasuna,3,0
2,Barcelona,Zaragoza,4,0
2,Sporting de Gijon,Real Madrid,1,1
2,Hercules,Elche,1,0
2,Murcia,Betis,0,1
2,Real Sociedad,CD Malaga,0,1
2,Sevilla,Atletico de Bilbao,3,0
2,Valencia,Espanol,5,1
2,Valladolid,Santander,1,0
3,Betis,Atletico de Madrid,0,1
3,Elche,Barcelona,0,0
3,Espanol,Hercules,2,2
3,CD Malaga,Atletico de Bilbao,0,1
3,Osasuna,Valencia,2,0
3,Santander,Sevilla,1,0
3,Real Sociedad,Murcia,4,0
3,Real Madrid,Valladolid,2,0
3,Zaragoza,Sporting de Gijon,2,0
4,Atletico de Bilbao,Santander,1,0
4,Atletico de Madrid,Real Sociedad,2,1
4,Barcelona,Espanol,1,0
4,Sporting de Gijon,Elche,2,0
4,Hercules,Osasuna,1,1
4,Murcia,CD Malaga,4,0
4,Sevilla,Real Madrid,1,0
4,Valencia,Betis,0,1
4,Valladolid,Zaragoza,1,1
5,Betis,Barcelona,1,2
5,Real Sociedad,Hercules,4,0
5,Elche,Sevilla,0,0
5,Espanol,Valladolid,2,2
5,CD Malaga,Atletico de Madrid,1,0
5,Murcia,Valencia,0,3
5,Osasuna,Sporting de Gijon,0,0
5,Real Madrid,Santander,3,0
5,Zaragoza,Atletico de Bilbao,1,0
6,Atletico de Bilbao,Real Madrid,0,0
6,Atletico de Madrid,Murcia,2,1
6,Barcelona,Osasuna,2,0
6,Sporting de Gijon,Espanol,1,0
6,Hercules,Betis,2,2
6,Santander,CD Malaga,2,0
6,Sevilla,Zaragoza,2,1
6,Valencia,Real Sociedad,2,0
6,Valladolid,Elche,1,2
7,Atletico de Madrid,Hercules,1,0
7,Betis,Valladolid,1,1
7,Elche,Santander,2,0
7,Espanol,Atletico de Bilbao,1,0
7,CD Malaga,Valencia,0,0
7,Murcia,Barcelona,1,1
7,Osasuna,Sevilla,4,0
7,Real Sociedad,Sporting de Gijon,0,0
7,Zaragoza,Real Madrid,0,2
8,Real Madrid,CD Malaga,0,0
8,Valencia,Atletico de Madrid,0,0
8,Atletico de Bilbao,Elche,0,0
8,Barcelona,Real Sociedad,1,1
8,Sporting de Gijon,Betis,1,1
8,Hercules,Murcia,2,1
8,Santander,Zaragoza,1,1
8,Sevilla,Espanol,0,0
8,Valladolid,Osasuna,2,3
9,Atletico de Madrid,Barcelona,1,2
9,Betis,Sevilla,1,2
9,Elche,Real Madrid,0,1
9,Espanol,Santander,5,0
9,CD Malaga,Zaragoza,2,0
9,Murcia,Sporting de Gijon,0,3
9,Osasuna,Atletico de Bilbao,1,2
9,Real Sociedad,Valladolid,0,0
9,Valencia,Hercules,3,0
10,Atletico de Bilbao,Betis,1,1
10,Barcelona,Valencia,1,1
10,Sporting de Gijon,Atletico de Madrid,2,1
10,Hercules,CD Malaga,1,1
10,Santander,Osasuna,5,0
10,Real Madrid,Espanol,4,1
10,Sevilla,Real Sociedad,0,1
10,Valladolid,Murcia,1,1
10,Zaragoza,Elche,1,0
11,Real Sociedad,Santander,0,0
11,Atletico de Madrid,Sevilla,1,1
11,Betis,Real Madrid,4,1
11,Espanol,Elche,1,0
11,Hercules,Sporting de Gijon,1,1
11,CD Malaga,Barcelona,1,2
11,Murcia,Atletico de Bilbao,0,0
11,Osasuna,Zaragoza,0,1
11,Valencia,Valladolid,0,0
12,Atletico de Bilbao,Real Sociedad,1,1
12,Barcelona,Hercules,2,0
12,Elche,CD Malaga,1,1
12,Sporting de Gijon,Valencia,1,1
12,Santander,Betis,1,1
12,Real Madrid,Osasuna,1,0
12,Sevilla,Murcia,0,0
12,Valladolid,Atletico de Madrid,2,2
12,Zaragoza,Espanol,1,1
13,Atletico de Madrid,Santander,2,1
13,Barcelona,Valladolid,4,2
13,Betis,Elche,2,0
13,Hercules,Sevilla,0,0
13,CD Malaga,Sporting de Gijon,0,0
13,Murcia,Real Madrid,0,1
13,Osasuna,Espanol,5,0
13,Real Sociedad,Zaragoza,2,1
13,Valencia,Atletico de Bilbao,1,1
14,Atletico de Bilbao,Atletico de Madrid,2,2
14,Elche,Osasuna,0,0
14,Espanol,CD Malaga,0,0
14,Sporting de Gijon,Barcelona,2,2
14,Santander,Murcia,2,2
14,Real Madrid,Real Sociedad,1,1
14,Sevilla,Valencia,0,0
14,Valladolid,Hercules,3,1
14,Zaragoza,Betis,0,0
15,Atletico de Madrid,Real Madrid,0,1
15,Barcelona,Sevilla,3,1
15,Betis,Espanol,3,1
15,Murcia,Zaragoza,0,3
15,Real Sociedad,Elche,2,0
15,Sporting de Gijon,Valladolid,1,3
15,Hercules,Atletico de Bilbao,0,0
15,CD Malaga,Osasuna,2,1
15,Valencia,Santander,0,0
16,Atletico de Bilbao,Barcelona,1,0
16,Elche,Murcia,0,0
16,Espanol,Real Sociedad,1,3
16,CD Malaga,Valladolid,3,1
16,Osasuna,Betis,1,2
16,Santander,Hercules,2,0
16,Real Madrid,Valencia,1,0
16,Sevilla,Sporting de Gijon,0,1
16,Zaragoza,Atletico de Madrid,1,1
17,Atletico de Madrid,Elche,1,0
17,Barcelona,Santander,2,0
17,Betis,CD Malaga,0,1
17,Sporting de Gijon,Atletico de Bilbao,1,1
17,Hercules,Real Madrid,2,2
17,Murcia,Espanol,1,0
17,Real Sociedad,Osasuna,0,2
17,Valencia,Zaragoza,4,1
17,Valladolid,Sevilla,2,3
18,Atletico de Madrid,Espanol,2,2
18,Barcelona,Real Madrid,3,2
18,Sporting de Gijon,Santander,0,0
18,Hercules,Zaragoza,0,0
18,Murcia,Osasuna,0,0
18,Real Sociedad,Betis,0,1
18,Sevilla,CD Malaga,2,0
18,Valencia,Elche,0,0
18,Valladolid,Atletico de Bilbao,0,0
19,Atletico de Bilbao,Sevilla,0,0
19,Betis,Murcia,0,2
19,Elche,Hercules,2,0
19,Espanol,Valencia,3,2
19,CD Malaga,Real Sociedad,1,3
19,Santander,Valladolid,1,0
19,Real Madrid,Sporting de Gijon,0,0
19,Zaragoza,Barcelona,2,4
19,Osasuna,Atletico de Madrid,0,0
