identificacion,Tiempo_real,Tiempo_asignado,permitir_Gastos,permitir_tiempo,Fecha_de_finalizacion_calculada,divisa,Titulo_de_proyecto,fecha_de_inicio,filial
21204,00:00.0,0:00:00,1,1,0000-00-00,2,523 The School of Rock,2010-09-27,1
21209,00:28.7,0:00:00,1,1,2011-06-30,1,524 CRM Implementation_pre-SOW work,2011-06-20,1
21210,00:51.2,0:00:00,1,1,2011-10-11,1,525 EOD_Jun 2011-May2012,2011-06-16,1
21221,00:00.0,0:00:00,1,1,0000-00-00,2,526 EoD General June 2011 - Aug 2011,2011-06-22,1
21235,06:11.2,0:00:00,1,1,2011-10-05,1,527 CRM Deployment Phase 1,2011-06-30,1
21243,01:09.8,0:00:00,1,1,2011-08-05,1,528 Immediate Post Go-Live Support (Wk of July 4),2011-07-05,1
21257,00:00.0,0:00:00,1,1,2011-09-15,1,529 Expertise OnDemand (July 2011),2011-06-03,1
21262,00:40.0,0:00:00,1,1,2011-09-02,1,531 Expense Report Disclaimer,2011-07-14,1
21273,02:41.0,0:00:00,1,1,2011-09-16,1,532 JT NS Account Automations,2011-07-22,1
21284,02:08.1,0:00:00,1,1,2011-09-23,2,533 EOD NS Implementation July-0ct 2011,2011-07-26,1
21285,00:00.0,0:00:00,1,1,2011-07-26,1,534 ** Expertise on Demand Template,2011-07-26,1
21288,00:25.3,0:00:00,1,1,2011-12-01,2,537 EoD_July/11-Sep/11,2011-07-26,1
22060,01:46.3,0:00:00,1,1,2011-09-06,1,538 NetSuite Implementation Aug - Oct 2011,2011-08-10,1
22066,00:00.0,0:00:00,1,1,2011-09-01,2,539 OLD-Expertise OnDemand (July'11-June'12),2011-08-16,1
22067,00:00.0,0:00:00,1,1,2011-09-21,1,540 Nightingale OneWorld Scoping,2011-08-17,1
22072,01:31.5,0:00:00,1,1,2011-10-10,1,541 Workopolis Support - August-October 2011,2011-08-17,1
22084,00:08.6,0:00:00,1,1,2011-09-22,1,542 EoD August2011 onwards,2011-08-19,1
22085,00:00.0,0:00:00,1,1,0000-00-00,2,543 EDVOTEK_SERVICE Q3/Q4 2011,2011-08-22,1
22103,00:04.3,0:00:00,1,1,2011-09-01,3,544 T&M Boomi Support Aug 2011 -,2011-08-26,1
22104,00:02.3,0:00:00,1,1,2012-03-09,2,545 EOD Support + Web Aug 2011 - Nov 2011,2011-08-26,1
22123,00:20.4,0:00:00,1,1,2011-09-15,1,549 Exchange to Google Apps Migration,2011-09-01,1
22141,00:00.0,0:00:00,1,1,0000-00-00,1,551 Q4-CRM Support,2011-09-08,1
22144,01:15.5,0:00:00,1,1,2011-09-23,1,552 Post-Deployment Support (80 Hours from SOW),2011-09-08,1
22164,00:00.0,0:00:00,1,1,2011-09-14,1,555 ** Fixed Bid - Template,2011-09-14,1
22181,00:00.0,0:00:00,1,1,2011-09-14,1,557 ** True Time & Materials (Post-billing) Template,2011-09-14,1
22182,00:00.0,0:00:00,1,1,2011-09-14,1,558 ** Time & Materials (Pre-billing) Template,2011-09-14,1
22189,00:00.0,0:00:00,0,1,2018-09-10,1,559 TJINC Admin & Time Off (Old),2011-09-15,1
22209,00:31.0,0:00:00,1,1,2011-11-11,1,560 Creditron EOD General Sep-Dec 2011,2011-09-16,1
22210,06:40.4,0:00:00,1,1,2012-08-09,2,561 Intermarkets EOD General Jul2011-Jun2012,2011-09-17,1
22212,00:00.0,0:00:00,1,1,2012-10-19,2,562 Alert Logic EOD General Sep2011,2011-09-17,1
22221,00:17.3,0:00:00,1,1,2011-10-03,2,563 Palnet GAAPS Migration,2011-09-20,1
22227,00:00.0,0:00:00,1,1,2011-11-18,1,564 Torstar Custom Channel Creator 2.0,2011-09-21,1
22243,00:00.0,0:00:00,1,1,2011-09-26,2,565 Edvotek EoD Q3/Q4 2011,2011-09-26,1
22254,03:34.8,0:00:00,1,1,2012-08-20,2,567 Palnet EoD General Nov2010-Apr2012,2011-09-29,1
22257,00:00.0,0:00:00,1,1,2011-10-20,2,570 Accuvant EOD General Oct2010-Sep2011,2011-09-29,1
22258,03:37.3,0:00:00,1,1,2014-09-26,2,571 Firemon EOD General May2011-Apr2012,2011-09-29,1
22264,02:11.5,0:00:00,1,1,2013-12-16,1,575 GreenGrassOne EDO General Sep2011-Aug2012,2011-09-29,1
22277,01:46.5,0:00:00,1,1,2011-10-06,1,576 Blue Balloon EoD General Mar2011-Apr2012,2011-10-04,1
22278,00:56.5,0:00:00,1,1,2011-11-29,1,577 **TEST** HECTOR PROJECT,2011-10-04,1
22280,06:56.5,0:00:00,1,1,2013-01-09,2,578 DowJones PeopleSoft Integration,2011-10-04,1
